date,spx,dax,ftse,nikkei
2024-06-17,5473.22998046875,18068.2109375,8142.2001953125,38102.44140625
2024-06-18,5487.02978515625,18131.970703125,8191.2998046875,38482.109375
2024-06-19,,18067.91015625,8205.099609375,38570.76171875
2024-06-20,5473.169921875,18254.1796875,8272.5,38633.01953125
2024-06-21,5464.6201171875,18163.51953125,8237.7001953125,38596.46875
2024-06-24,5447.8701171875,18325.580078125,8281.599609375,38804.6484375
2024-06-25,5469.2998046875,18177.619140625,8247.7998046875,39173.1484375
2024-06-26,5477.89990234375,18155.240234375,8225.2998046875,39667.0703125
2024-06-27,5482.8701171875,18210.55078125,8179.7001953125,39341.5390625
2024-06-28,5460.47998046875,18235.44921875,8164.10009765625,39583.078125
2024-07-01,5475.08984375,18290.66015625,8166.7998046875,39631.05859375
2024-07-02,5509.009765625,18164.060546875,8121.2001953125,40074.69140625
2024-07-03,5537.02001953125,18374.529296875,8171.10009765625,40580.76171875
2024-07-04,,18450.48046875,8241.2998046875,40913.6484375
2024-07-05,5567.18994140625,18475.44921875,8203.900390625,40912.37109375
2024-07-08,5572.85009765625,18472.05078125,8193.5,40780.69921875
2024-07-09,5576.97998046875,18236.189453125,8139.7998046875,41580.171875
2024-07-10,5633.91015625,18407.220703125,8193.5,41831.98828125
2024-07-11,5584.5400390625,18534.560546875,8223.2998046875,42224.01953125
2024-07-12,5615.35009765625,18748.1796875,8252.900390625,41190.6796875
2024-07-15,5631.22021484375,18590.890625,8183.0,
2024-07-16,5667.2001953125,18518.029296875,8164.89990234375,41275.078125
2024-07-17,5588.27001953125,18437.30078125,8187.5,41097.69140625
2024-07-18,5544.58984375,18354.759765625,8204.900390625,40126.3515625
2024-07-19,5505.0,18171.9296875,8155.7001953125,40063.7890625
2024-07-22,5564.41015625,18407.0703125,8198.7998046875,39599.0
2024-07-23,5555.740234375,18557.69921875,8167.39990234375,39594.390625
2024-07-24,5427.1298828125,18387.4609375,8153.7001953125,39154.8515625
2024-07-25,5399.22021484375,18298.720703125,8186.39990234375,37869.51171875
2024-07-26,5459.10009765625,18417.55078125,8285.7001953125,37667.41015625
2024-07-29,5463.5400390625,18320.669921875,8292.400390625,38468.62890625
2024-07-30,5436.43994140625,18411.1796875,8274.400390625,38525.94921875
2024-07-31,5522.2998046875,18508.650390625,8368.0,39101.8203125
2024-08-01,5446.68017578125,18083.05078125,8283.400390625,38126.328125
2024-08-02,5346.56005859375,17661.220703125,8174.7001953125,35909.69921875
2024-08-05,5186.330078125,17339.0,8008.2001953125,31458.419921875
2024-08-06,5240.02978515625,17354.3203125,8026.7001953125,34675.4609375
2024-08-07,5199.5,17615.150390625,8166.89990234375,35089.62109375
2024-08-08,5319.31005859375,17680.400390625,8145.0,34831.1484375
2024-08-09,5344.16015625,17722.880859375,8168.10009765625,35025.0
2024-08-12,5344.39013671875,17726.470703125,8210.2998046875,
2024-08-13,5434.43017578125,17812.05078125,8235.2001953125,36232.51171875
2024-08-14,5455.2099609375,17885.599609375,8281.099609375,36442.4296875
2024-08-15,5543.22021484375,18183.240234375,8347.400390625,36726.640625
2024-08-16,5554.25,18322.400390625,8311.400390625,38062.671875
2024-08-19,5608.25,18421.689453125,8356.900390625,37388.62109375
2024-08-20,5597.1201171875,18357.51953125,8273.2998046875,38062.921875
2024-08-21,5620.85009765625,18448.94921875,8283.400390625,37951.80078125
2024-08-22,5570.64013671875,18493.390625,8288.0,38211.01171875
2024-08-23,5634.60986328125,18633.099609375,8327.7998046875,38364.26953125
2024-08-26,5616.83984375,18617.01953125,,38110.21875
2024-08-27,5625.7998046875,18681.810546875,8345.5,38288.62109375
2024-08-28,5592.18017578125,18782.2890625,8343.900390625,38371.76171875
2024-08-29,5591.9599609375,18912.5703125,8379.599609375,38362.53125
2024-08-30,5648.39990234375,18906.919921875,8376.599609375,38647.75
2024-09-02,,18930.849609375,8363.7998046875,38700.87109375
2024-09-03,5528.93017578125,18747.109375,8298.5,38686.30859375
2024-09-04,5520.06982421875,18591.849609375,8269.599609375,37047.609375
2024-09-05,5503.41015625,18576.5,8241.7001953125,36657.08984375
2024-09-06,5408.419921875,18301.900390625,8181.5,36391.46875
2024-09-09,5471.0498046875,18443.560546875,8270.7998046875,36215.75
2024-09-10,5495.52001953125,18265.919921875,8206.0,36159.16015625
2024-09-11,5554.1298828125,18330.26953125,8193.900390625,35619.76953125
2024-09-12,5595.759765625,18518.390625,8241.0,36833.26953125
2024-09-13,5626.02001953125,18699.400390625,8273.099609375,36581.76171875
2024-09-16,5633.08984375,18633.109375,8278.400390625,
2024-09-17,5634.580078125,18726.080078125,8309.900390625,36203.21875
2024-09-18,5618.259765625,18711.490234375,8253.7001953125,36380.171875
